Drug_Name,Drug_ID,Interactor_Name,Interactor_ID,Interaction_Description,targets_A,targets_B
Insulin lispro,DB00046,Alprenolol,DB00866,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Alprenolol.,['EDNRA'],['DPP4']
Insulin lispro,DB00046,Pindolol,DB00960,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Pindolol.,['EDNRB'],['DPP4']
Insulin lispro,DB00046,Acebutolol,DB01193,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Acebutolol.,['EDNRA'],['DPP4']
Insulin lispro,DB00046,Nadolol,DB01203,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Nadolol.,['EDNRB'],['SLC5A2']
Insulin lispro,DB00046,Bevantolol,DB01295,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Bevantolol.,['EDNRA'],['DPP4']
Insulin lispro,DB00046,Practolol,DB01297,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Practolol.,['EDNRB'],['GLP1R']
Insulin lispro,DB00046,Oxprenolol,DB01580,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Oxprenolol.,['EDNRB'],['DPP4']
Insulin lispro,DB00046,Dexpropranolol,DB03322,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Dexpropranolol.,['EDNRA'],['SLC5A2']
Insulin lispro,DB00046,Bufuralol,DB06726,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Bufuralol.,['EDNRB'],['SLC5A2']
Insulin lispro,DB00046,Bopindolol,DB08807,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Bopindolol.,['EDNRA'],['GLP1R']
Insulin lispro,DB00046,Bupranolol,DB08808,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Bupranolol.,['EDNRB'],['GLP1R']
Insulin lispro,DB00046,Indenolol,DB08952,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Indenolol.,['EDNRA'],['PPARG']
Insulin lispro,DB00046,Anisodamine,DB11785,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Anisodamine.,['EDNRA'],['GLP1R']
Insulin lispro,DB00046,Lithium hydroxide,DB14506,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Lithium hydroxide.,['CA1'],['HTR1A']
Insulin lispro,DB00046,Lithium citrate,DB14507,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Lithium citrate.,['CA2'],['HTR1B']
Insulin lispro,DB00046,Lithium carbonate,DB14509,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Lithium carbonate.,['CA4'],['ADRB3']
Insulin lispro,DB00046,Lithium chloride,DB16607,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Lithium chloride.,['CA9'],['ADRB1']
Insulin lispro,DB00046,Clonidine,DB00575,The therapeutic efficacy of Insulin lispro can be increased when used in combination with Clonidine.,['CA12'],['ADRB2']
Insulin glargine,DB00047,Cinoxacin,DB00827,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Cinoxacin.,['SLC12A3'],['AR']
Insulin glargine,DB00047,Sparfloxacin,DB01208,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Sparfloxacin.,['CA9'],['PKLR']
Insulin glargine,DB00047,Fleroxacin,DB04576,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Fleroxacin.,['CA12'],['CYP19A1']
Insulin glargine,DB00047,Technetium Tc-99m ciprofloxacin,DB05488,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Technetium Tc-99m ciprofloxacin.,['SLC12A3'],['P2RX3']
Insulin glargine,DB00047,Garenoxacin,DB06160,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Garenoxacin.,['CA1'],['P2RX2']
Insulin glargine,DB00047,Nemonoxacin,DB06600,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Nemonoxacin.,['CA1'],['PDE5A']
Insulin glargine,DB00047,Enrofloxacin,DB11404,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Enrofloxacin.,['CA4'],['JAK2']
Insulin glargine,DB00047,Orbifloxacin,DB11443,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Orbifloxacin.,['CA9'],['FLT3']
Insulin glargine,DB00047,Sarafloxacin,DB11491,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Sarafloxacin.,['CA12'],['JAK1']
Insulin glargine,DB00047,Difloxacin,DB11511,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Difloxacin.,['SLC12A3'],['ADRB1']
Insulin glargine,DB00047,Pazufloxacin,DB11774,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Pazufloxacin.,['CA1'],['ADRB2']
Insulin glargine,DB00047,Prulifloxacin,DB11892,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Prulifloxacin.,['CA1'],['SLC12A1']
Insulin glargine,DB00047,Delafloxacin,DB11943,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Delafloxacin.,['CA2'],['CA1']
Insulin glargine,DB00047,Sitafloxacin,DB13261,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Sitafloxacin.,['CA4'],['CA2']
Insulin glargine,DB00047,Oxolinic acid,DB13627,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Oxolinic acid.,['CA9'],['CA4']
Insulin glargine,DB00047,Rufloxacin,DB13772,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Rufloxacin.,['CA12'],['SLC12A3']
Insulin glargine,DB00047,Pipemidic acid,DB13823,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Pipemidic acid.,['SLC12A3'],['KCNMA1']
Insulin glargine,DB00047,Grepafloxacin,DB00365,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Grepafloxacin.,['CA1'],['CA1']
Insulin glargine,DB00047,Lomefloxacin,DB00978,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Lomefloxacin.,['CA1'],['CA2']
Insulin glargine,DB00047,Temafloxacin,DB01405,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Temafloxacin.,['CA2'],['CA4']
Insulin glargine,DB00047,Pindolol,DB00960,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Pindolol.,['CA12'],['SLC5A2']
Insulin glargine,DB00047,Acebutolol,DB01193,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Acebutolol.,['SLC12A3'],['SLC5A1']
Insulin glargine,DB00047,Dexpropranolol,DB03322,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Dexpropranolol.,['CA12'],['GLP1R']
Insulin glargine,DB00047,Bufuralol,DB06726,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Bufuralol.,['CA1'],['GLP1R']
Insulin glargine,DB00047,Bopindolol,DB08807,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Bopindolol.,['CA2'],['GIP']
Insulin glargine,DB00047,Indenolol,DB08952,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Indenolol.,['CA9'],['INSR']
Insulin glargine,DB00047,Arotinolol,DB09204,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Arotinolol.,['CA12'],['IGF1R']
Insulin glargine,DB00047,Levobetaxolol,DB09351,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Levobetaxolol.,['SLC12A3'],['INSR']
Insulin glargine,DB00047,Talinolol,DB11770,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Talinolol.,['CA1'],['IGF1R']
Insulin glargine,DB00047,Anisodamine,DB11785,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Anisodamine.,['CA1'],['VKORC1']
Insulin glargine,DB00047,Bucindolol,DB12752,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Bucindolol.,['CA2'],['NR1I2']
Insulin glargine,DB00047,Esatenolol,DB13443,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Esatenolol.,['CA4'],['VKORC1']
Insulin glargine,DB00047,Cloranolol,DB13508,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Cloranolol.,['CA9'],['VKORC1']
Insulin glargine,DB00047,Mepindolol,DB13530,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Mepindolol.,['CA12'],['NQO1']
Insulin glargine,DB00047,Epanolol,DB13757,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Epanolol.,['SLC12A3'],['CRYZ']
Insulin glargine,DB00047,Tertatolol,DB13775,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Tertatolol.,['CA1'],['VKORC1']
Insulin glargine,DB00047,Betaxolol,DB00195,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Betaxolol.,['CA1'],['VKORC1']
Insulin glargine,DB00047,Lithium citrate,DB14507,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Lithium citrate.,['CA12'],['SLC12A3']
Insulin glargine,DB00047,Lithium carbonate,DB14509,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Lithium carbonate.,['SLC12A3'],['CACNA1C']
Insulin glargine,DB00047,Lithium chloride,DB16607,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Lithium chloride.,['CA1'],['CACNA2D1']
Insulin glargine,DB00047,Clonidine,DB00575,The therapeutic efficacy of Insulin glargine can be increased when used in combination with Clonidine.,['CA1'],['ADRA2A']
Abciximab,DB00054,Quinine,DB00468,The therapeutic efficacy of Abciximab can be increased when used in combination with Quinine.,['SLC22A5'],['CHRNA10']
Abciximab,DB00054,Quinidine,DB00908,The therapeutic efficacy of Abciximab can be increased when used in combination with Quinidine.,['CRAT'],['CHRM2']
Abciximab,DB00054,Pentoxifylline,DB00806,The therapeutic efficacy of Abciximab can be increased when used in combination with Pentoxifylline.,['CROT'],['CHRM2']
Abciximab,DB00054,Levocarnitine,DB00583,The therapeutic efficacy of Abciximab can be increased when used in combination with Levocarnitine.,['XDH'],['CHRNA2']
Abciximab,DB00054,Omega-3-carboxylic acids,DB09568,The therapeutic efficacy of Abciximab can be increased when used in combination with Omega-3-carboxylic acids.,['ACE'],['VCAM1']
Drotrecogin alfa,DB00055,Quinine,DB00468,The therapeutic efficacy of Drotrecogin alfa can be increased when used in combination with Quinine.,['GABRA4'],['CRYZ']
Drotrecogin alfa,DB00055,Quinidine,DB00908,The therapeutic efficacy of Drotrecogin alfa can be increased when used in combination with Quinidine.,['GABRA5'],['VKORC1']
Drotrecogin alfa,DB00055,Pentoxifylline,DB00806,The therapeutic efficacy of Drotrecogin alfa can be increased when used in combination with Pentoxifylline.,['CHRNA7'],['VKORC1']
Drotrecogin alfa,DB00055,Omega-3-carboxylic acids,DB09568,The therapeutic efficacy of Drotrecogin alfa can be increased when used in combination with Omega-3-carboxylic acids.,['CA1'],['HTR1B']
Pegaspargase,DB00059,Phenytoin,DB00252,The therapeutic efficacy of Phenytoin can be increased when used in combination with Pegaspargase.,['HCAR3'],['ADRB1']
Pegaspargase,DB00059,Liothyronine,DB00279,The therapeutic efficacy of Liothyronine can be increased when used in combination with Pegaspargase.,['HCAR2'],['ADRB2']
Pegaspargase,DB00059,Levothyroxine,DB00451,The therapeutic efficacy of Levothyroxine can be increased when used in combination with Pegaspargase.,['QPRT'],['ADRB3']
Pegaspargase,DB00059,Mephenytoin,DB00532,The therapeutic efficacy of Mephenytoin can be increased when used in combination with Pegaspargase.,['NNMT'],['HTR1A']
Pegaspargase,DB00059,Furosemide,DB00695,The therapeutic efficacy of Furosemide can be increased when used in combination with Pegaspargase.,['HCAR3'],['HTR1B']
Pegaspargase,DB00059,Nitrofurantoin,DB00698,The therapeutic efficacy of Nitrofurantoin can be increased when used in combination with Pegaspargase.,['HCAR2'],['ADRB1']
Pegaspargase,DB00059,Ethotoin,DB00754,The therapeutic efficacy of Ethotoin can be increased when used in combination with Pegaspargase.,['QPRT'],['ADRB2']
Pegaspargase,DB00059,Meclofenamic acid,DB00939,The therapeutic efficacy of Meclofenamic acid can be increased when used in combination with Pegaspargase.,['NNMT'],['ADRA1A']
Pegaspargase,DB00059,Heparin,DB01109,The therapeutic efficacy of Heparin can be increased when used in combination with Pegaspargase.,['HCAR3'],['ADRB1']
Pegaspargase,DB00059,Dantrolene,DB01219,The therapeutic efficacy of Dantrolene can be increased when used in combination with Pegaspargase.,['HCAR2'],['ADRB2']
Pegaspargase,DB00059,Fosphenytoin,DB01320,The therapeutic efficacy of Fosphenytoin can be increased when used in combination with Pegaspargase.,['QPRT'],['ADRB1']
Pegaspargase,DB00059,Liotrix,DB01583,The therapeutic efficacy of Liotrix can be increased when used in combination with Pegaspargase.,['NNMT'],['ADRB2']
Pegaspargase,DB00059,Etofenamate,DB08984,The therapeutic efficacy of Etofenamate can be increased when used in combination with Pegaspargase.,['HCAR3'],['HTR1A']
Pegaspargase,DB00059,Liothyronine I-131,DB12425,The therapeutic efficacy of Liothyronine I-131 can be increased when used in combination with Pegaspargase.,['HCAR2'],['ADRB3']
Pegaspargase,DB00059,Neocitrullamon,DB13396,The therapeutic efficacy of Neocitrullamon can be increased when used in combination with Pegaspargase.,['QPRT'],['ADRB1']
Pegaspargase,DB00059,Allantoin,DB11100,The therapeutic efficacy of Allantoin can be increased when used in combination with Pegaspargase.,['NNMT'],['ADRB2']
Insulin pork,DB00071,Moxifloxacin,DB00218,The therapeutic efficacy of Insulin pork can be increased when used in combination with Moxifloxacin.,['SLC6A4'],['HTR1A']
Insulin pork,DB00071,Grepafloxacin,DB00365,The therapeutic efficacy of Insulin pork can be increased when used in combination with Grepafloxacin.,['SLC6A2'],['HTR7']
Insulin pork,DB00071,Enoxacin,DB00467,The therapeutic efficacy of Insulin pork can be increased when used in combination with Enoxacin.,['HTR2A'],['HTR2C']
Insulin pork,DB00071,Pefloxacin,DB00487,The therapeutic efficacy of Insulin pork can be increased when used in combination with Pefloxacin.,['ADRA1A'],['HTR1D']
Insulin pork,DB00071,Ciprofloxacin,DB00537,The therapeutic efficacy of Insulin pork can be increased when used in combination with Ciprofloxacin.,['ADRA2A'],['CACNA1C']
Insulin pork,DB00071,Trovafloxacin,DB00685,The therapeutic efficacy of Insulin pork can be increased when used in combination with Trovafloxacin.,['ADRB1'],['CACNA2D1']
Insulin pork,DB00071,Nalidixic acid,DB00779,The therapeutic efficacy of Insulin pork can be increased when used in combination with Nalidixic acid.,['DRD2'],['ADRA2A']
Insulin pork,DB00071,Rosoxacin,DB00817,The therapeutic efficacy of Insulin pork can be increased when used in combination with Rosoxacin.,['HRH1'],['ADRA1A']
Insulin pork,DB00071,Cinoxacin,DB00827,The therapeutic efficacy of Insulin pork can be increased when used in combination with Cinoxacin.,['HTR1A'],['HTR1A']
Insulin pork,DB00071,Lomefloxacin,DB00978,The therapeutic efficacy of Insulin pork can be increased when used in combination with Lomefloxacin.,['CHRM1'],['HTR7']
Insulin pork,DB00071,Gatifloxacin,DB01044,The therapeutic efficacy of Insulin pork can be increased when used in combination with Gatifloxacin.,['HTR2B'],['HTR2C']
Insulin pork,DB00071,Norfloxacin,DB01059,The therapeutic efficacy of Insulin pork can be increased when used in combination with Norfloxacin.,['DRD1'],['HTR1D']
Insulin pork,DB00071,Levofloxacin,DB01137,The therapeutic efficacy of Insulin pork can be increased when used in combination with Levofloxacin.,['SLC6A4'],['SLC12A1']
Insulin pork,DB00071,Gemifloxacin,DB01155,The therapeutic efficacy of Insulin pork can be increased when used in combination with Gemifloxacin.,['SLC6A2'],['CA1']
Insulin pork,DB00071,Ofloxacin,DB01165,The therapeutic efficacy of Insulin pork can be increased when used in combination with Ofloxacin.,['HTR2A'],['CA2']
Insulin pork,DB00071,Sparfloxacin,DB01208,The therapeutic efficacy of Insulin pork can be increased when used in combination with Sparfloxacin.,['ADRA1A'],['CA4']
Insulin pork,DB00071,Temafloxacin,DB01405,The therapeutic efficacy of Insulin pork can be increased when used in combination with Temafloxacin.,['ADRA2A'],['SLC12A3']
Insulin pork,DB00071,Fleroxacin,DB04576,The therapeutic efficacy of Insulin pork can be increased when used in combination with Fleroxacin.,['ADRB1'],['KCNMA1']
Insulin pork,DB00071,Technetium Tc-99m ciprofloxacin,DB05488,The therapeutic efficacy of Insulin pork can be increased when used in combination with Technetium Tc-99m ciprofloxacin.,['DRD2'],['CA1']
Insulin pork,DB00071,Garenoxacin,DB06160,The therapeutic efficacy of Insulin pork can be increased when used in combination with Garenoxacin.,['HRH1'],['CA2']
Insulin pork,DB00071,Nemonoxacin,DB06600,The therapeutic efficacy of Insulin pork can be increased when used in combination with Nemonoxacin.,['HTR1A'],['CA4']
Insulin pork,DB00071,Flumequine,DB08972,The therapeutic efficacy of Insulin pork can be increased when used in combination with Flumequine.,['CHRM1'],['SLC12A3']
Insulin pork,DB00071,Enrofloxacin,DB11404,The therapeutic efficacy of Insulin pork can be increased when used in combination with Enrofloxacin.,['HTR2B'],['CA1']
Insulin pork,DB00071,Orbifloxacin,DB11443,The therapeutic efficacy of Insulin pork can be increased when used in combination with Orbifloxacin.,['DRD1'],['CA1']
Insulin pork,DB00071,Sarafloxacin,DB11491,The therapeutic efficacy of Insulin pork can be increased when used in combination with Sarafloxacin.,['HRH1'],['CA2']
Insulin pork,DB00071,Difloxacin,DB11511,The therapeutic efficacy of Insulin pork can be increased when used in combination with Difloxacin.,['HRH1'],['CA4']
Insulin pork,DB00071,Pazufloxacin,DB11774,The therapeutic efficacy of Insulin pork can be increased when used in combination with Pazufloxacin.,['HRH1'],['CA9']
Insulin pork,DB00071,Prulifloxacin,DB11892,The therapeutic efficacy of Insulin pork can be increased when used in combination with Prulifloxacin.,['HRH1'],['CA12']
Insulin pork,DB00071,Delafloxacin,DB11943,The therapeutic efficacy of Insulin pork can be increased when used in combination with Delafloxacin.,['HRH1'],['FXYD2']
Insulin pork,DB00071,Sitafloxacin,DB13261,The therapeutic efficacy of Insulin pork can be increased when used in combination with Sitafloxacin.,['HRH1'],['CA1']
Insulin pork,DB00071,Oxolinic acid,DB13627,The therapeutic efficacy of Insulin pork can be increased when used in combination with Oxolinic acid.,['HRH1'],['CA1']
Insulin pork,DB00071,Rufloxacin,DB13772,The therapeutic efficacy of Insulin pork can be increased when used in combination with Rufloxacin.,['HRH1'],['CA2']
Insulin pork,DB00071,Pipemidic acid,DB13823,The therapeutic efficacy of Insulin pork can be increased when used in combination with Pipemidic acid.,['HRH1'],['SFRP4']
Insulin pork,DB00071,Clonidine,DB00575,The therapeutic efficacy of Insulin pork can be increased when used in combination with Clonidine.,['CHRNA2'],['SCN5A']
Insulin pork,DB00071,Phentermine,DB00191,The therapeutic efficacy of Insulin pork can be increased when used in combination with Phentermine.,['ABCC8'],['PAH']
Insulin pork,DB00071,Metoprolol,DB00264,The therapeutic efficacy of Insulin pork can be increased when used in combination with Metoprolol.,['ABCC8'],['ADRA1B']
Insulin pork,DB00071,Atenolol,DB00335,The therapeutic efficacy of Insulin pork can be increased when used in combination with Atenolol.,['PPARG'],['ADRA1D']
Insulin pork,DB00071,Timolol,DB00373,The therapeutic efficacy of Insulin pork can be increased when used in combination with Timolol.,['ABCC8'],['ADRA2A']
Insulin pork,DB00071,Labetalol,DB00598,The therapeutic efficacy of Insulin pork can be increased when used in combination with Labetalol.,['PPARG'],['ADRA2B']
Insulin pork,DB00071,Bisoprolol,DB00612,The therapeutic efficacy of Insulin pork can be increased when used in combination with Bisoprolol.,['ABCC8'],['ADRA2C']
Insulin pork,DB00071,Alprenolol,DB00866,The therapeutic efficacy of Insulin pork can be increased when used in combination with Alprenolol.,['PPARG'],['ADRB1']
Insulin pork,DB00071,Pindolol,DB00960,The therapeutic efficacy of Insulin pork can be increased when used in combination with Pindolol.,['ABCC8'],['ADRB2']
Insulin pork,DB00071,Acebutolol,DB01193,The therapeutic efficacy of Insulin pork can be increased when used in combination with Acebutolol.,['PPARG'],['ADRB3']
Insulin pork,DB00071,Nadolol,DB01203,The therapeutic efficacy of Insulin pork can be increased when used in combination with Nadolol.,['ABCC8'],['PAH']
Insulin pork,DB00071,Bevantolol,DB01295,The therapeutic efficacy of Insulin pork can be increased when used in combination with Bevantolol.,['PPARG'],['ADRA2A']
Insulin pork,DB00071,Penbutolol,DB01359,The therapeutic efficacy of Insulin pork can be increased when used in combination with Penbutolol.,['PPARG'],['ADRA1A']
Insulin pork,DB00071,Oxprenolol,DB01580,The therapeutic efficacy of Insulin pork can be increased when used in combination with Oxprenolol.,['ABCC8'],['ADRA1B']
Insulin pork,DB00071,Dexpropranolol,DB03322,The therapeutic efficacy of Insulin pork can be increased when used in combination with Dexpropranolol.,['PPARG'],['ADRA2A']
Insulin pork,DB00071,Celiprolol,DB04846,The therapeutic efficacy of Insulin pork can be increased when used in combination with Celiprolol.,['ABCC8'],['ADRA2B']
Insulin pork,DB00071,Nebivolol,DB04861,The therapeutic efficacy of Insulin pork can be increased when used in combination with Nebivolol.,['PPARG'],['ADRA2C']
Insulin pork,DB00071,Bufuralol,DB06726,The therapeutic efficacy of Insulin pork can be increased when used in combination with Bufuralol.,['ABCC8'],['ADRB1']
Insulin pork,DB00071,Bopindolol,DB08807,The therapeutic efficacy of Insulin pork can be increased when used in combination with Bopindolol.,['PPARG'],['ADRB2']
Insulin pork,DB00071,Bupranolol,DB08808,The therapeutic efficacy of Insulin pork can be increased when used in combination with Bupranolol.,['ABCC8'],['ADRA1D']
Insulin pork,DB00071,Indenolol,DB08952,The therapeutic efficacy of Insulin pork can be increased when used in combination with Indenolol.,['PPARG'],['ADRB3']
Insulin pork,DB00071,Talinolol,DB11770,The therapeutic efficacy of Insulin pork can be increased when used in combination with Talinolol.,['ABCC8'],['HTR2C']
Insulin pork,DB00071,Anisodamine,DB11785,The therapeutic efficacy of Insulin pork can be increased when used in combination with Anisodamine.,['PPARG'],['DRD2']
Insulin pork,DB00071,Bucindolol,DB12752,The therapeutic efficacy of Insulin pork can be increased when used in combination with Bucindolol.,['ABCC8'],['HTR2A']
Insulin pork,DB00071,Esatenolol,DB13443,The therapeutic efficacy of Insulin pork can be increased when used in combination with Esatenolol.,['PPARG'],['DRD3']
Insulin pork,DB00071,Cloranolol,DB13508,The therapeutic efficacy of Insulin pork can be increased when used in combination with Cloranolol.,['ABCC8'],['MCHR1']
Insulin pork,DB00071,Mepindolol,DB13530,The therapeutic efficacy of Insulin pork can be increased when used in combination with Mepindolol.,['PPARG'],['SLC18A2']
Insulin pork,DB00071,Epanolol,DB13757,The therapeutic efficacy of Insulin pork can be increased when used in combination with Epanolol.,['ABCC8'],['SIGMAR1']
Insulin pork,DB00071,Tertatolol,DB13775,The therapeutic efficacy of Insulin pork can be increased when used in combination with Tertatolol.,['PPARG'],['HRH1']
Insulin pork,DB00071,Betaxolol,DB00195,The therapeutic efficacy of Insulin pork can be increased when used in combination with Betaxolol.,['ABCC8'],['CHRM3']
Insulin pork,DB00071,Propranolol,DB00571,The therapeutic efficacy of Insulin pork can be increased when used in combination with Propranolol.,['PPARG'],['ADRA1A']
Insulin pork,DB00071,Carvedilol,DB01136,The therapeutic efficacy of Insulin pork can be increased when used in combination with Carvedilol.,['ABCC8'],['ADRA2A']
Insulin pork,DB00071,Propafenone,DB01182,The therapeutic efficacy of Insulin pork can be increased when used in combination with Propafenone.,['PPARG'],['ADRA2B']
Insulin pork,DB00071,Hydroxychloroquine,DB01611,The therapeutic efficacy of Insulin pork can be increased when used in combination with Hydroxychloroquine.,['ABCC8'],['ADRA2C']
Insulin pork,DB00071,Metoclopramide,DB01233,The therapeutic efficacy of Insulin pork can be increased when used in combination with Metoclopramide.,['PPARG'],['HTR1A']
Insulin pork,DB00071,Lithium hydroxide,DB14506,The therapeutic efficacy of Insulin pork can be increased when used in combination with Lithium hydroxide.,['CHRNA2'],['SLC12A1']
Insulin pork,DB00071,Lithium citrate,DB14507,The therapeutic efficacy of Insulin pork can be increased when used in combination with Lithium citrate.,['CHRNA2'],['CA7']
Insulin pork,DB00071,Lithium carbonate,DB14509,The therapeutic efficacy of Insulin pork can be increased when used in combination with Lithium carbonate.,['CHRNA2'],['CA9']
Insulin pork,DB00071,Lithium chloride,DB16607,The therapeutic efficacy of Insulin pork can be increased when used in combination with Lithium chloride.,['CHRNA2'],['ATP1A1']
Botulinum toxin type A,DB00083,Magnesium sulfate,DB00653,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Magnesium sulfate.,['ADRA1A'],['THRA']
Botulinum toxin type A,DB00083,Succinylcholine,DB00202,The therapeutic efficacy of Succinylcholine can be increased when used in combination with Botulinum toxin type A.,['ADRA1D'],['PPARG']
Botulinum toxin type A,DB00083,Decamethonium,DB01245,The therapeutic efficacy of Decamethonium can be increased when used in combination with Botulinum toxin type A.,['SCN5A'],['ABCC8']
Botulinum toxin type A,DB00083,Pyrantel,DB11156,The therapeutic efficacy of Pyrantel can be increased when used in combination with Botulinum toxin type A.,['KCNK1'],['VEGFA']
Botulinum toxin type A,DB00083,Neosaxitoxin,DB12989,The therapeutic efficacy of Neosaxitoxin can be increased when used in combination with Botulinum toxin type A.,['KCNK6'],['ABCC8']
Botulinum toxin type A,DB00083,Baclofen,DB00181,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Baclofen.,['KCNH2'],['SLC12A3']
Botulinum toxin type A,DB00083,Pregabalin,DB00230,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Pregabalin.,['CA7'],['KCNK6']
Botulinum toxin type A,DB00083,Lofexidine,DB04948,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Lofexidine.,['CA8'],['KCNH2']
Botulinum toxin type A,DB00083,Botulinum toxin type B,DB00042,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Botulinum toxin type B.,['CA9'],['ADRA1A']
Botulinum toxin type A,DB00083,Lymecycline,DB00256,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Lymecycline.,['CA14'],['CASR']
Botulinum toxin type A,DB00083,Capreomycin,DB00314,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Capreomycin.,['MAOB'],['PADI4']
Botulinum toxin type A,DB00083,Tigecycline,DB00560,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Tigecycline.,['SCN4A'],['RPSA']
Botulinum toxin type A,DB00083,Oxytetracycline,DB00595,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Oxytetracycline.,['SCN5A'],['RPL10L']
Botulinum toxin type A,DB00083,Kanamycin,DB01172,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Kanamycin.,['CA4'],['GRIN1']
Botulinum toxin type A,DB00083,Magnesium trisilicate,DB09281,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Magnesium trisilicate.,['SCN3A'],['KCNH2']
Botulinum toxin type A,DB00083,Magnesium chloride,DB09407,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Magnesium chloride.,['SCN4A'],['SCN5A']
Botulinum toxin type A,DB00083,Magnesium acetate tetrahydrate,DB09409,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Magnesium acetate tetrahydrate.,['SCN5A'],['DNMT1']
Botulinum toxin type A,DB00083,Magnesium carbonate,DB09481,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Magnesium carbonate.,['SCN9A'],['RYR1']
Botulinum toxin type A,DB00083,Dihydrostreptomycin,DB11512,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Dihydrostreptomycin.,['SCN3B'],['CACNA2D1']
Botulinum toxin type A,DB00083,Hygromycin B,DB11520,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Hygromycin B.,['SCN4B'],['ADRA2A']
Botulinum toxin type A,DB00083,Sisomicin,DB12604,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Sisomicin.,['CACNA1G'],['ADRA1A']
Botulinum toxin type A,DB00083,Plazomicin,DB12615,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Plazomicin.,['CACNA1H'],['HTR1A']
